36,6,0,0,0,7,1.571429,1,4,0,0,0,5,0
21,3,0,0,0,3,2.333333,2,1,0,0,0,3,0
34,4,0,0,0,4,1.5,1,2,0,0,0,4,0
21,3,0,0,0,3,2.333333,0,1,0,0,0,1,0
35,3,1,0,0,7,3.714286,3,3,0,0,0,6,0
26,5,0,0,0,4,2.5,2,1,0,0,0,3,0
25,1,0,0,0,4,1.75,1,2,0,0,0,3,0
64,7,0,0,0,5,4,10,0,0,0,0,10,0
26,4,0,0,0,6,3.666667,2,1,0,0,0,3,0
22,4,0,0,0,3,2.333333,0,1,0,0,0,1,0
61,1,1,0,0,11,3.454545,7,3,0,0,0,10,0
24,5,0,0,0,3,2.333333,0,1,0,0,0,1,0
20,4,0,0,0,3,2.333333,0,1,0,0,0,1,0
34,6,0,0,0,7,4.857143,2,2,0,0,0,4,1
29,5,0,0,0,4,3.5,2,0,0,0,0,2,1
33,9,0,0,0,4,5,2,1,0,0,0,3,1
37,9,1,0,0,7,4.571429,0,1,0,0,7,0.5,1
31,12,0,0,0,5,2.4,0,2,0,0,0,2,1
26,5,0,0,0,4,2.5,2,1,0,0,0,3,1
37,9,0,0,0,6,3,3,2,0,0,0,5,1
32,5,0,0,0,6,4.666667,2,1,0,0,0,3,1
47,9,0,0,0,10,4.2,6,3,0,0,0,9,1
29,4,1,0,0,5,2.4,1,2,0,0,8,3,1
54,10,0,0,0,5,2.6,4,2,0,0,0,8,1
27,5,0,0,0,4,3.5,3,1,0,0,0,4,1
37,5,0,0,0,7,2.857143,1,4,0,0,0,5,1
25,4,0,0,0,4,2,0,2,0,0,0,2,1
25,3,1,0,0,4,2.5,0,2,0,0,0,2,1
38,6,0,0,0,9,3.111111,2,3,0,0,0,5,1
27,3,0,0,0,4,2,0,2,0,0,0,2,1
